game_id,original_away,original_home,original_url,fixed_away,fixed_home,fixed_url,status
2024_244,Denver Broncos,Cincinnati Bengals TBD TBD,,Denver Broncos,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/202412280cin.htm,FIXED
2024_245,Arizona Cardinals,Los Angeles Rams TBD TBD,,Arizona Cardinals,Los Angeles Rams,https://www.pro-football-reference.com/boxscores/202412280ram.htm,FIXED
2024_246,Los Angeles Chargers,New England Patriots TBD TBD,,Los Angeles Chargers,New England Patriots,https://www.pro-football-reference.com/boxscores/202412280nwe.htm,FIXED
2024_247,Indianapolis Colts,New York Giants TBD TBD,,Indianapolis Colts,New York Giants,https://www.pro-football-reference.com/boxscores/202412280nyg.htm,FIXED
2024_248,Atlanta Falcons,Washington Commanders TBD TBD,,Atlanta Falcons,Washington Commanders,https://www.pro-football-reference.com/boxscores/202412280was.htm,FIXED
2024_257,San Francisco 49ers,Arizona Cardinals TBD TBD,,San Francisco 49ers,Arizona Cardinals,https://www.pro-football-reference.com/boxscores/202501050crd.htm,FIXED
2024_258,Carolina Panthers,Atlanta Falcons TBD TBD,,Carolina Panthers,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/202501050atl.htm,FIXED
2024_259,Cleveland Browns,Baltimore Ravens TBD TBD,,Cleveland Browns,Baltimore Ravens,https://www.pro-football-reference.com/boxscores/202501050rav.htm,FIXED
2024_260,Washington Commanders,Dallas Cowboys TBD TBD,,Washington Commanders,Dallas Cowboys,https://www.pro-football-reference.com/boxscores/202501050dal.htm,FIXED
2024_261,Kansas City Chiefs,Denver Broncos TBD TBD,,Kansas City Chiefs,Denver Broncos,https://www.pro-football-reference.com/boxscores/202501050den.htm,FIXED
2024_262,Minnesota Vikings,Detroit Lions TBD TBD,,Minnesota Vikings,Detroit Lions,https://www.pro-football-reference.com/boxscores/202501050det.htm,FIXED
2024_263,Chicago Bears,Green Bay Packers TBD TBD,,Chicago Bears,Green Bay Packers,https://www.pro-football-reference.com/boxscores/202501050gnb.htm,FIXED
2024_264,Jacksonville Jaguars,Indianapolis Colts TBD TBD,,Jacksonville Jaguars,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/202501050clt.htm,FIXED
2024_265,Seattle Seahawks,Los Angeles Rams TBD TBD,,Seattle Seahawks,Los Angeles Rams,https://www.pro-football-reference.com/boxscores/202501050ram.htm,FIXED
2024_266,Los Angeles Chargers,Las Vegas Raiders TBD TBD,,Los Angeles Chargers,Las Vegas Raiders,https://www.pro-football-reference.com/boxscores/202501050rai.htm,FIXED
2024_267,Buffalo Bills,New England Patriots TBD TBD,,Buffalo Bills,New England Patriots,https://www.pro-football-reference.com/boxscores/202501050nwe.htm,FIXED
2024_268,Miami Dolphins,New York Jets TBD TBD,,Miami Dolphins,New York Jets,https://www.pro-football-reference.com/boxscores/202501050nyj.htm,FIXED
2024_269,New York Giants,Philadelphia Eagles TBD TBD,,New York Giants,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/202501050phi.htm,FIXED
2024_270,Cincinnati Bengals,Pittsburgh Steelers TBD TBD,,Cincinnati Bengals,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/202501050pit.htm,FIXED
2024_271,New Orleans Saints,Tampa Bay Buccaneers TBD TBD,,New Orleans Saints,Tampa Bay Buccaneers,https://www.pro-football-reference.com/boxscores/202501050tam.htm,FIXED
2024_272,Houston Texans,Tennessee Titans TBD TBD,,Houston Texans,Tennessee Titans,https://www.pro-football-reference.com/boxscores/202501050oti.htm,FIXED
